season,team,games_played,avg_points_for,avg_points_against,total_points_for,total_points_against,wins,losses,win_pct,point_diff,star_players,superstars,win_component,scoring_component,talent_component,power_score,expected_wins,pythagorean_wins
2021,ARI,15,26.266666666666666,20.4,394.0,306.0,10,5,0.6666666666666666,5.866666666666667,4,1,3.3333333333333326,2.9333333333333336,3.0,5.7,10.0,9.68160100496637
2021,ATL,15,18.533333333333335,26.666666666666668,278.0,400.0,7,8,0.4666666666666667,-8.133333333333333,2,1,-0.6666666666666665,-4.066666666666666,2.0,-2.5,7.0,4.452857525128813
2021,BAL,15,23.666666666666668,23.733333333333334,355.0,356.0,8,7,0.5333333333333333,-0.06666666666666643,2,1,0.6666666666666665,-0.033333333333333215,2.0,1.2,8.0,7.475000076107701
2021,BUF,15,28.466666666666665,17.6,427.0,264.0,9,6,0.6,10.866666666666664,2,2,1.9999999999999996,5.433333333333332,3.0,6.5,9.0,11.364034292925218
2021,CAR,15,18.466666666666665,23.0,277.0,345.0,5,10,0.3333333333333333,-4.533333333333335,2,0,-3.333333333333334,-2.2666666666666675,1.0,-3.7,5.0,5.591805723206406
2021,CHI,15,17.666666666666668,24.866666666666667,265.0,373.0,5,10,0.3333333333333333,-7.199999999999999,0,0,-3.333333333333334,-3.5999999999999996,0.0,-5.3,5.0,4.617778371886176
2021,CIN,15,27.333333333333332,21.6,410.0,324.0,9,6,0.6,5.733333333333331,1,1,1.9999999999999996,2.8666666666666654,1.5,3.7,9.0,9.539602873091278
2021,CLE,15,20.933333333333334,21.933333333333334,314.0,329.0,7,8,0.4666666666666667,-1.0,0,0,-0.6666666666666665,-0.5,0.0,-1.4,7.0,7.08568911517178
2021,DAL,15,30.466666666666665,20.466666666666665,457.0,307.0,11,4,0.7333333333333333,10.0,4,1,4.666666666666666,5.0,3.0,8.0,11.0,10.795186726300704
2021,DEN,15,19.866666666666667,17.333333333333332,298.0,260.0,7,8,0.4666666666666667,2.533333333333335,0,0,-0.6666666666666665,1.2666666666666675,0.0,-0.2,7.0,8.701909885067995
2021,DET,15,17.266666666666666,25.733333333333334,259.0,386.0,3,12,0.2,-8.466666666666669,2,0,-6.0,-4.233333333333334,1.0,-6.9,3.0,4.196401020492422
