date,team,player,position,acquired,relinquished,notes,source,scraped_at,injury_status,injury_comment,injury_type,is_injury,is_return,processed_at
2025-08-09,UNK,Will Hernandez,G,,Will Hernandez,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.759795,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Devin Neal,RB,,Devin Neal,Status: Aug 17 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 17,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Juwan Johnson,TE,,Juwan Johnson,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Chris Olave,WR,,Chris Olave,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Rico Payton,CB,,Rico Payton,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Brock Lampe,FB,,Brock Lampe,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.810784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Christian Gonzalez,CB,,Christian Gonzalez,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.810784,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Yasir Durant,OT,,Yasir Durant,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.810784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jaquelin Roy,DT,,Jaquelin Roy,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.810784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Nick Saldiveri,OT,,Nick Saldiveri,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.814785,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Marcellas Dial Jr.,CB,,Marcellas Dial Jr.,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.810784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Stefon Diggs,WR,,Stefon Diggs,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.810784,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Ja'Lynn Polk,WR,,Ja'Lynn Polk,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.810784,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Lan Larison,RB,,Lan Larison,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.810784,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,C.J. Ham,FB,,C.J. Ham,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.807784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Mekhi Blackmon,CB,,Mekhi Blackmon,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.807784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Gavin Bartholomew,TE,,Gavin Bartholomew,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.807784,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Alex Williams,DE,,Alex Williams,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.807784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Christian Darrisaw,OT,,Christian Darrisaw,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.806785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Kendrick Bourne,WR,,Kendrick Bourne,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.810784,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,J.T. Gray,S,,J.T. Gray,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Foster Moreau,TE,,Foster Moreau,Status: Aug 10 - Out,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Taysom Hill,TE,,Taysom Hill,Status: Aug 10 - Out,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Will McDonald IV,DE,,Will McDonald IV,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.822785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Byron Cowart,DT,,Byron Cowart,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.822785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Eric Gray,RB,,Eric Gray,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Andrew Thomas,OT,,Andrew Thomas,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Dexter Lawrence II,DT,,Dexter Lawrence II,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Bryce Ford-Wheaton,WR,,Bryce Ford-Wheaton,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.818786,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,D.J. Davidson,DT,,D.J. Davidson,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Victor Dimukeje,LB,,Victor Dimukeje,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Cor'Dale Flott,CB,,Cor'Dale Flott,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Thomas Fidone II,TE,,Thomas Fidone II,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Cam Skattebo,RB,,Cam Skattebo,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Rushawn Baker,RB,,Rushawn Baker,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.818786,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Malik Nabers,WR,,Malik Nabers,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Darius Slayton,WR,,Darius Slayton,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jalin Hyatt,WR,,Jalin Hyatt,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.818786,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Anthony Johnson Jr.,S,,Anthony Johnson Jr.,Status: Oct 5 - Out,ESPN_WEB,2025-08-09T19:18:24.818786,Oct 5,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Pete Werner,LB,,Pete Werner,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jaylan Ford,LB,,Jaylan Ford,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,D'Marco Jackson,LB,,D'Marco Jackson,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.814785,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,T.J. Hockenson,TE,,T.J. Hockenson,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.806785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Azareye'h Thomas,CB,,Azareye'h Thomas,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.822785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Justin Jefferson,WR,,Justin Jefferson,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.806785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jason Maitre,CB,,Jason Maitre,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.803784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jared Verse,LB,,Jared Verse,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Cam Hart,CB,,Cam Hart,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Del'Shawn Phillips,LB,,Del'Shawn Phillips,Status: Aug 10 - Out,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jalen Reagor,WR,,Jalen Reagor,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Otito Ogbonnia,DT,,Otito Ogbonnia,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Mekhi Becton,OT,,Mekhi Becton,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Josh Fuga,DT,,Josh Fuga,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.796796,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Ladd McConkey,WR,,Ladd McConkey,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Kobie Turner,DE,,Kobie Turner,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Najee Harris,RB,,Najee Harris,Status: Aug 10 - Out,ESPN_WEB,2025-08-09T19:18:24.796796,Aug 10,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Rashawn Slater,OT,,Rashawn Slater,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.796796,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Lonnie Johnson Jr.,CB,,Lonnie Johnson Jr.,Status: Aug 7 - Doubtful,ESPN_WEB,2025-08-09T19:18:24.793796,Aug 7,Doubtful,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Leki Fotu,DT,,Leki Fotu,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.793796,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,BJ Thompson,DE,,BJ Thompson,Status: Feb 9 - Out,ESPN_WEB,2025-08-09T19:18:24.790796,Feb 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Keaontay Ingram,RB,,Keaontay Ingram,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.790796,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jake Briningstool,TE,,Jake Briningstool,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.790796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Drue Tranquill,LB,,Drue Tranquill,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.790796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jared Wiley,TE,,Jared Wiley,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.790796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jordan Petaia,TE,,Jordan Petaia,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.796796,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Matthew Stafford,QB,,Matthew Stafford,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Nate Landman,LB,,Nate Landman,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
